,datetime,usage
929,20190811T06-05,43642
930,20190811T05-05,44419
931,20190811T04-05,45510
932,20190811T03-05,46935
933,20190811T02-05,49105
934,20190811T01-05,51936
935,20190811T00-05,55524
936,20190810T23-05,59238
937,20190810T22-05,62729
938,20190810T21-05,65076
939,20190810T20-05,67663
940,20190810T19-05,70225
941,20190810T18-05,71556
942,20190810T17-05,71658
943,20190810T16-05,70777
944,20190810T15-05,69126
945,20190810T14-05,66769
946,20190810T13-05,63701
947,20190810T12-05,60136
948,20190810T11-05,55940
949,20190810T10-05,51599
950,20190810T09-05,47349
951,20190810T08-05,44454
952,20190810T07-05,44254
953,20190810T06-05,44060
954,20190810T05-05,44329
955,20190810T04-05,45375
956,20190810T03-05,47030
957,20190810T02-05,49201
958,20190810T01-05,52109
959,20190810T00-05,55647
960,20190809T23-05,59337
961,20190809T22-05,62996
962,20190809T21-05,65493
963,20190809T20-05,68042
964,20190809T19-05,70917
965,20190809T18-05,72629
966,20190809T17-05,73112
967,20190809T16-05,72850
968,20190809T15-05,71662
969,20190809T14-05,69482
970,20190809T13-05,66232
971,20190809T12-05,62670
972,20190809T11-05,58537
973,20190809T10-05,54420
974,20190809T09-05,50803
975,20190809T08-05,48614
976,20190809T07-05,47979
977,20190809T06-05,46481
978,20190809T05-05,45514
979,20190809T04-05,45762
980,20190809T03-05,46986
981,20190809T02-05,48912
982,20190809T01-05,51720
983,20190809T00-05,55304
984,20190808T23-05,59563
985,20190808T22-05,63497
986,20190808T21-05,65833
987,20190808T20-05,68038
988,20190808T19-05,70275
989,20190808T18-05,71771
990,20190808T17-05,72305
991,20190808T16-05,72042
992,20190808T15-05,71129
993,20190808T14-05,68989
994,20190808T13-05,65631
995,20190808T12-05,61930
996,20190808T11-05,57942
997,20190808T10-05,53817
998,20190808T09-05,50390
999,20190808T08-05,48276
1000,20190808T07-05,47726
1001,20190808T06-05,46233
1002,20190808T05-05,45396
1003,20190808T04-05,45689
1004,20190808T03-05,46871
1005,20190808T02-05,48850
1006,20190808T01-05,51626
1007,20190808T00-05,55566
1008,20190807T23-05,59926
1009,20190807T22-05,64288
1010,20190807T21-05,67074
1011,20190807T20-05,69485
1012,20190807T19-05,71880
1013,20190807T18-05,72844
1014,20190807T17-05,73092
1015,20190807T16-05,72855
1016,20190807T15-05,72007
1017,20190807T14-05,69707
1018,20190807T13-05,66272
1019,20190807T12-05,62501
1020,20190807T11-05,58128
1021,20190807T10-05,53778
1022,20190807T09-05,50044
1023,20190807T08-05,47950
1024,20190807T07-05,47268
1025,20190807T06-05,45668
1026,20190807T05-05,44737
1027,20190807T04-05,44881
1028,20190807T03-05,46001
1029,20190807T02-05,47824
1030,20190807T01-05,50557
1031,20190807T00-05,54154
1032,20190806T23-05,58431
1033,20190806T22-05,62571
1034,20190806T21-05,64988
1035,20190806T20-05,67148
1036,20190806T19-05,69562
1037,20190806T18-05,70725
1038,20190806T17-05,71046
1039,20190806T16-05,70926
1040,20190806T15-05,70112
1041,20190806T14-05,68273
1042,20190806T13-05,65587
1043,20190806T12-05,61845
1044,20190806T11-05,57471
1045,20190806T10-05,52951
1046,20190806T09-05,49222
1047,20190806T08-05,46636
1048,20190806T07-05,45867
1049,20190806T06-05,44249
1050,20190806T05-05,43361
1051,20190806T04-05,43608
1052,20190806T03-05,44886
1053,20190806T02-05,46821
1054,20190806T01-05,49505
1055,20190806T00-05,53148
1056,20190805T23-05,57528
1057,20190805T22-05,61794
1058,20190805T21-05,64202
1059,20190805T20-05,66436
1060,20190805T19-05,68665
1061,20190805T18-05,69511
1062,20190805T17-05,69750
1063,20190805T16-05,69394
1064,20190805T15-05,68208
1065,20190805T14-05,66384
1066,20190805T13-05,63572
